date	open	high	low	close	volume
2017-10-16	127.1100000	127.8000000	126.6800000	127.1700000	23.771.970
2017-10-17	127.0500000	127.2000000	125.0500000	125.1500000	28.299.320
2017-10-18	125.4400000	127.0900000	125.2600000	126.7000000	29.571.630
2017-10-19	126.7800000	127.3900000	125.1700000	125.5000000	22.518.290
2017-10-20	125.8100000	127.0500000	125.6000000	126.7000000	21.042.270
2017-10-23	127.0600000	127.4700000	126.3700000	126.8000000	17.286.880
2017-10-24	126.8900000	126.9700000	125.6100000	126.0200000	20.349.440
2017-10-25	126.5500000	126.7500000	124.2800000	125.0000000	24.125.900
2017-10-26	124.9900000	125.3900000	124.0700000	124.2000000	14.719.810
2017-10-27	124.5700000	125.9400000	123.6400000	125.9400000	28.566.500
2017-10-30	125.9600000	126.9300000	125.5300000	125.9800000	19.229.280
2017-10-31	126.1200000	126.6000000	125.5700000	125.9000000	11.847.690
2017-11-01	126.3400000	126.8900000	125.9700000	126.5000000	18.167.600
2017-11-02	125.8800000	126.0000000	124.8700000	125.6700000	15.528.250
2017-11-03	125.7100000	126.8400000	125.7100000	125.9000000	22.607.180
2017-11-07	127.0600000	132.5500000	127.0500000	132.2800000	82.128.530
2017-11-08	132.1000000	133.9400000	131.5800000	132.3000000	39.337.670
2017-11-09	132.3100000	132.8200000	131.1400000	131.5000000	33.846.240
2017-11-10	131.0500000	133.8400000	130.5100000	132.5000000	47.096.990
2017-11-13	132.6400000	134.1800000	131.7100000	133.3200000	29.445.370
2017-11-14	133.0700000	134.2800000	132.3500000	132.9300000	42.176.770
2017-11-15	132.0100000	132.7900000	131.2100000	131.2100000	23.233.500
2017-11-16	131.7900000	132.7000000	127.7400000	129.2000000	42.097.040
2017-11-17	129.6500000	130.8700000	129.0600000	129.6500000	18.113.220
2017-11-20	129.8000000	130.4900000	128.6300000	129.9600000	15.642.930
2017-11-21	130.4500000	133.0500000	130.3500000	132.4900000	35.516.950
2017-11-22	133.0100000	133.6500000	132.2000000	132.5700000	25.079.290
2017-11-23	132.5000000	133.1000000	131.3000000	131.6000000	29.101.330
2017-11-24	131.5600000	134.1900000	131.3100000	133.5700000	29.025.290
2017-11-27	133.6100000	135.1900000	132.8000000	133.5000000	27.676.810
2017-11-28	133.2900000	135.1800000	132.5500000	135.1800000	26.653.360
2017-11-29	134.8600000	134.8600000	132.9700000	133.5500000	27.221.990
2017-11-30	133.0000000	134.3100000	132.0000000	132.1500000	39.953.360
2017-12-01	132.4700000	133.3200000	131.7200000	133.0200000	24.739.380
2017-12-04	133.0100000	134.0000000	131.9300000	133.7700000	17.805.030
2017-12-05	133.4700000	133.9900000	132.7800000	133.6500000	12.681.030
2017-12-06	133.3200000	134.2900000	132.9100000	134.0000000	14.625.230
2017-12-07	133.6600000	133.8700000	132.8100000	133.0200000	18.187.870
2017-12-08	133.4200000	133.9000000	132.0000000	132.6000000	16.027.170
2017-12-11	132.3500000	134.6500000	132.3500000	134.6500000	22.727.400
2017-12-12	134.6900000	135.6000000	133.6500000	135.5000000	25.137.070
2017-12-13	135.1800000	136.4200000	134.6000000	135.5600000	23.251.380
2017-12-14	135.4200000	136.2000000	134.9000000	135.9100000	22.537.690
2017-12-15	135.7200000	136.1600000	135.0000000	135.5000000	25.066.350
2017-12-18	135.6400000	136.3500000	132.9400000	134.2500000	31.018.990
2017-12-19	134.1300000	134.7400000	133.5000000	133.9600000	16.458.270
2017-12-20	133.9600000	134.3300000	132.3500000	132.5000000	23.877.480
2017-12-21	133.0000000	133.4700000	130.2000000	131.7000000	39.251.410
2017-12-22	132.1500000	133.4800000	131.0500000	132.4200000	16.550.650
2017-12-25	132.7200000	133.1900000	131.8000000	131.9600000	5.658.690
2017-12-26	132.2300000	132.4400000	129.6200000	131.2000000	12.765.160
2017-12-27	131.2900000	132.2300000	130.4500000	130.9900000	15.957.460
2017-12-28	130.8800000	131.2000000	129.8100000	130.5300000	16.271.890
2017-12-29	130.4200000	130.9300000	128.8600000	130.5000000	16.285.270
2018-01-03	131.0300000	132.2000000	130.6300000	132.2000000	10.522.070
2018-01-04	132.5000000	136.2000000	132.3000000	135.8900000	32.092.300
2018-01-05	135.8000000	137.1200000	135.0800000	137.1200000	19.965.100
2018-01-09	138.0000000	141.3500000	137.6000000	140.0000000	52.204.990
2018-01-10	140.4900000	143.4300000	139.5800000	143.4300000	51.756.440
2018-01-11	143.2300000	144.8000000	142.3100000	144.5800000	38.571.480
2018-01-12	144.2100000	144.5400000	141.6400000	143.9900000	36.760.620
2018-01-15	144.3300000	145.5000000	142.6000000	142.9900000	30.037.050
2018-01-16	143.1600000	145.3500000	141.8900000	145.2900000	36.982.660
2018-01-17	144.5100000	149.2000000	143.3100000	148.7000000	64.088.350
2018-01-18	148.7900000	150.3500000	148.1300000	150.3500000	53.857.120
2018-01-19	149.9400000	151.0000000	148.4000000	149.1300000	38.996.740
2018-01-22	149.0900000	150.3000000	148.8500000	150.3000000	22.745.110
2018-01-23	150.8000000	151.6500000	147.7100000	148.8000000	35.760.870
2018-01-24	148.5100000	149.7000000	146.6000000	149.7000000	24.826.570
2018-01-25	150.0200000	151.3900000	149.2700000	149.8000000	41.825.580
2018-01-26	149.4000000	149.5500000	146.0100000	147.1900000	35.266.440
2018-01-29	146.7700000	147.2900000	144.1500000	144.7500000	36.073.370
2018-01-30	144.0000000	146.4300000	142.3700000	143.5000000	51.240.710
2018-01-31	142.9800000	144.5000000	141.8000000	143.3600000	44.234.770
2018-02-01	143.4300000	146.1700000	143.1300000	145.3900000	37.413.040
2018-02-02	145.6800000	146.7800000	142.8800000	144.0000000	39.050.390
2018-02-05	142.8700000	145.2000000	142.3000000	144.5300000	33.048.750
2018-02-06	141.7300000	142.8200000	140.4000000	141.5900000	51.830.950
2018-02-07	142.4500000	143.3900000	141.0000000	141.0000000	32.853.320
2018-02-08	140.4700000	140.8500000	137.1400000	137.2000000	42.662.580
2018-02-09	135.9900000	136.7000000	132.8000000	135.5600000	53.098.540
2018-02-12	136.8700000	138.1000000	136.0300000	137.3000000	29.360.450
2018-02-13	138.0000000	140.1000000	137.4500000	139.8500000	36.398.240
2018-02-14	140.0300000	140.5700000	137.0200000	138.8900000	34.106.600
